N_values,a_values
0.0,0.0009118514309882149
900.264911802896,0.0009237322298452596
1800.529823605792,0.0009358445375505655
2700.794735408688,0.0009481943743807676
3601.059647211584,0.000960787956819195
4501.32455901448,0.0009736317052568859
5401.5894708173755,0.0009867322520477212
6301.854382620271,0.001000096449936373
7202.119294423167,0.0010137313808788783
8102.384206226063,0.0010276443652768427
9002.64911802896,0.0010418429716475433
9902.914029831856,0.0010563350267535608
10803.178941634753,0.0010711286262170172
11703.44385343765,0.0010862321456450422
12603.708765240546,0.0011016542522947466
13503.973677043443,0.0011174039173077496
14404.23858884634,0.001133490428546198
15304.503500649236,0.001149923404064242
16204.768412452133,0.0011667128062511048
17105.03332425503,0.001183868956684196
18005.298236057926,0.001201402551733226
18905.563147860823,0.0012193246789589335
19805.82805966372,0.0012376468343529173
20706.092971466616,0.0012563809404681297
21606.357883269513,0.0012755393654928994
22506.62279507241,0.0012951349433248987
23406.887706875306,0.001315180994705285
24307.152618678203,0.001335691349477355
25207.4175304811,0.0013566803700384663
26107.682442283996,0.0013781629760587322
27007.947354086893,0.00140015467054513
27908.21226588979,0.0014226715673351796
28808.477177692686,0.0014457304201103058
29708.742089495583,0.001469348653025435
30609.00700129848,0.0014935443930583097
31509.271913101376,0.0015183365041895084
32409.536824904273,0.0015437446235322682
33309.801736707166,0.0015697891995399733
34210.06664851006,0.0015964915324286671
35110.33156031295,0.0016238738169622282
36010.596472115845,0.0016519591877589865
36910.86138391874,0.0016807717672906429
37811.12629572163,0.0017103367167574622
38711.391207524524,0.0017406802900379434
39611.65611932742,0.001771829890926642
40511.92103113031,0.0018038141338906338
41412.1859429332,0.0018366629085934075
42312.4508547361,0.0018704074484549023
43212.71576653899,0.0019050804035381078
44112.98067834188,0.0019407159180763254
45013.245590144776,0.0019773497129810125
45913.51050194767,0.0020150191736983485
46813.77541375056,0.0020537634438134843
47714.040325553455,0.0020936235248351616
48614.30523735635,0.0021346423826302924
49514.57014915924,0.0021768650610185327
50414.835060962134,0.0022203388030812075
51315.09997276503,0.002265113180787597
52215.36488456792,0.002311240233595025
53115.62979637081,0.002358774616737909
54015.894708173706,0.0024077737599855634
54916.1596199766,0.0024582980377196775
55816.42453177949,0.0025104109512608394
56716.689443582385,0.0025641793244599795
57616.95435538528,0.0026196735136661637
58517.21926718817,0.002676967633287788
59417.484178991064,0.00273613979828107
60317.74909079396,0.002797272385029197
61218.01400259685,0.002860452312218974
62118.27891439974,0.0029257713434811343
63018.54382620264,0.0029933264137374446
63918.80873800553,0.0030632199813946247
64819.07364980842,0.003135560408744337
65719.33856161132,0.0032104623731729265
66619.60347341422,0.0032880473120574195
67519.86838521711,0.0033684439045291734
68420.13329702,0.003451788593627704
69320.3982088229,0.0035382261527493923
70220.66312062579,0.003627910300724453
71120.92803242868,0.0037210043703370553
72021.19294423157,0.0038176820356450192
72921.45785603447,0.003918128104065417
73821.72276783736,0.004022539379880257
74721.98767964025,0.004131125606593312
75622.25259144315,0.004244110496447878
76522.51750324604,0.004361732856410642
77422.78241504893,0.00448424782105619
78323.04732685183,0.004611928204069937
79223.31223865472,0.004745065981547866
80123.57715045761,0.004883973921936626
81023.8420622605,0.00502898737935911
81924.1069740634,0.005180466269246098
82824.37188586629,0.005338797247687643
83724.63679766918,0.005504396118780388
84624.90170947208,0.005677710497539834
85525.16662127497,0.00585922275974172
86425.43153307786,0.006049453314439618
87325.69644488076,0.00624896423997789
88225.96135668365,0.006458363330201163
89126.22626848654,0.006678308604397544
90026.49118028943,0.006909513342475485
90926.75609209233,0.007152751716170592
91827.02100389522,0.007408865097957869
92727.28591569811,0.007678769142107618
93627.550827501,0.007963461747333356
94527.8157393039,0.008264032028179387
95428.0806511068,0.008581670443222063
96328.34556290969,0.008917680252969306
97228.61047471258,0.009273490509843095
98128.87538651547,0.009650670817809848
99029.14029831837,0.010050948141306363
99929.40521012126,0.010476225993608592
100829.67012192415,0.010928606395589745
101729.93503372704,0.011410415069263527
102630.19994552994,0.011924230419553388
103530.46485733283,0.012472916966077248
104430.72976913572,0.013059664019076314
105330.99468093862,0.013688030555898241
106231.25959274151,0.01436199745426316
107131.5245045444,0.015086028485632386
108031.7894163473,0.015865141778911365
108932.05432815019,0.01670499384770599
109832.31923995308,0.017611978754591095
110732.58415175597,0.018593345591087697
111632.84906355887,0.01965733821885493
112533.11397536176,0.020813362194497444
113433.37888716465,0.022072185052145737
114333.64379896755,0.023446177731674827
115233.90871077044,0.024949607034020837
116134.17362257333,0.0265989917194568
117034.43853437623,0.028413538461227076
117934.70344617912,0.030415678632585208
118834.96835798201,0.03263173326955366
119735.2332697849,0.03509274212123244
120635.4981815878,0.037835504339378906
121535.76309339069,0.04090389431603099
122436.02800519358,0.04435053826872601
123336.29291699648,0.048238968075237317
